ID000004 | HD Modelo 9161 | 8319.66 | 491 | 1839 | 2022-01-01
ID000052 | Roteador Modelo 7529 | 746.82 | 88 | 12741 | 2022-01-01
ID000664 | Webcam Modelo 8904 | 6876.95 | 489 | 291 | 2022-01-01
ID002586 | Impressora Modelo 580 | 7353.01 | 18 | 45626 | 2022-01-01
ID004055 | Webcam Modelo 5425 | 832.26 | 272 | 12035 | 2022-01-01
ID004466 | Memória RAM Modelo 6461 | 1645.79 | 107 | 36298 | 2022-01-01
ID006522 | Teclado Modelo 8134 | 8222.37 | 227 | 37126 | 2022-01-01
ID007559 | Mouse Modelo 855 | 5452.92 | 323 | 42531 | 2022-01-01
ID008130 | Headset Modelo 5221 | 6065.12 | 355 | 4939 | 2022-01-01
ID008729 | Webcam Modelo 8571 | 9225.26 | 268 | 49623 | 2022-01-01
ID000257 | Processador Modelo 1632 | 6671.58 | 96 | 5719 | 2022-01-02
ID004294 | Placa de Vídeo Modelo 140 | 2074.32 | 12 | 5472 | 2022-01-02
ID006303 | HD Modelo 5959 | 6902.92 | 11 | 26294 | 2022-01-02
ID008387 | HD Modelo 7462 | 5205.06 | 409 | 4307 | 2022-01-02
ID009156 | SSD Modelo 3058 | 199.46 | 409 | 34236 | 2022-01-02
ID009823 | Hub USB Modelo 5764 | 4400.08 | 171 | 29361 | 2022-01-02
ID001565 | SSD Modelo 8758 | 9226.7 | 478 | 544 | 2022-01-03
ID006670 | Smartphone Modelo 7787 | 2061.23 | 291 | 31294 | 2022-01-03
ID007080 | Adaptador Bluetooth Modelo 220 | 4640.8 | 304 | 607 | 2022-01-03
ID009303 | Scanner Modelo 8963 | 338.42 | 297 | 43814 | 2022-01-03
ID000550 | Cooler Modelo 3489 | 3021.77 | 476 | 27497 | 2022-01-04
ID001116 | Impressora Modelo 7082 | 9259.75 | 350 | 26371 | 2022-01-04
ID001730 | Webcam Modelo 9590 | 7364.73 | 95 | 1789 | 2022-01-04
ID002101 | Smartphone Modelo 3331 | 1489.7 | 482 | 11683 | 2022-01-04
ID002814 | Fonte Modelo 3302 | 1475.34 | 60 | 35404 | 2022-01-04
ID002903 | SSD Modelo 1694 | 2680.18 | 371 | 46113 | 2022-01-04
ID004163 | SSD Modelo 9222 | 6113.5 | 62 | 18399 | 2022-01-04
ID004983 | Impressora Modelo 7197 | 3943.74 | 92 | 27065 | 2022-01-04
ID005228 | Mouse Modelo 6501 | 9265.72 | 92 | 26467 | 2022-01-04
ID006736 | SSD Modelo 3011 | 9181.63 | 429 | 19380 | 2022-01-04
ID007276 | Teclado Modelo 2023 | 456.66 | 467 | 4070 | 2022-01-04
ID007406 | Headset Modelo 9602 | 2407.22 | 314 | 15551 | 2022-01-04
ID007556 | Processador Modelo 2478 | 9520.32 | 206 | 12423 | 2022-01-04
